"PLT_CN","ABCO_met","ABMA_met","ABSH_met","ACMA_met","CADE_met","JUNIPER_met","PICO_met","PIJE_met","PILA_met","PIMO_met","PIPO_met","POBA_met","PSME_met","QUCH_met","QUKE_met","hardwood.ba","conifer.ba","AB_PI","INVYR","ELEV_met","COND_STATUS_CD","STDAGE","FORTYPCD","OWNGRPCD","DSTRBCD1","CONDPROP_UNADJ","GSSTKCD","BALIVE","x.coord","y.coord","number.conditions","MEANING","DENS_12plus","DENS_12_24","DENS_24_36","DENS_36plus","BALIVE_sqmha"
48205344010497,11.7714308322245,0,0,1.19628609634152,19.8806728742659,0,0,0,12.1994352769855,0,0,0,22.3429554853251,0,0,1.19628609634152,66.194494468801,0.491072403416485,2011,1493.44711978055,1,151,371,10,0,1,2,309.8134,-121.543112,40.150984,1,"California mixed conifer",198.026444279713,133.833491475167,39.5033555720287,24.6895972325179,67.3907805651425
48205474010497,0,0,0,0,0,0,0,13.0499004138278,0,0,4.155202853153,0,0,0,0,0,17.2051032669807,0,2011,1493.44711978055,1,90,225,40,0,1,3,100.2188,-120.793291,40.410069,1,"Jeffrey pine",121.432063256733,118.963103533482,2.46895972325179,0,17.2051032669807
48205712010497,10.3046319357441,0,0,0,18.4166867691452,0,0,0,0,0,0,19.9938255201487,14.4432062249982,0,0,19.9938255201487,43.1645249298876,1,2011,1615.36117037489,1,122,371,30,0,1,2,287.5857,-120.704788,39.744731,1,"California mixed conifer",304.70137879911,267.666982950334,37.0343958487769,0,63.1583504500363
48205738010497,0,0,0,0,0,0,0,0,1.10322655181004,0,1.10322655181004,0,12.7312313673868,0,0,0,14.9376844710069,0,2011,1676.31819567205,1,45,371,10,0,1,3,134.4321,-122.906517,39.916844,1,"California mixed conifer",47.0801235483074,44.6111638250556,0,2.46895972325179,14.9376844710069
216958193020004,0,0,0,0,0,0,0,15.8309748559539,0,0,0,0,0,0,0,0,15.8309748559539,0,2014,1798.23224626638,1,85,225,10,22,1,3,127.2725,-120.501822,40.019779,1,"Jeffrey pine",136.302451198419,133.833491475167,2.46895972325179,0,15.8309748559539
216959057020004,17.5644598260746,0,0,0,18.3907640942292,0,0,4.39621536341575,0,0,0,0,0,0,0,0,40.3514392837196,0.799814198539777,2014,1798.23224626638,1,117,371,10,0,1,2,246.6502,-121.328156,40.398815,1,"California mixed conifer",155.997499382258,118.963103533482,27.1585569557697,9.87583889300716,40.3514392837196
216959065020004,13.3701770273061,0,0,0,13.001744426084,0,0,0,9.51505486473557,0,37.9399527398142,0,0,0,0,0,73.8269290579398,0.219813176207011,2014,1493.44711978055,1,115,371,10,22,1,1,360.3628,-121.46542,40.252828,1,"California mixed conifer",321.870837657524,237.926207066963,83.9446305905609,0,73.8269290579398
216959383020004,1.91928443617428,0,0,0,0,0,0,17.8748652454216,0,0,0,0,0,0,0,0,19.7941496815958,0.0969622068665466,2014,1798.23224626638,1,77,225,10,0,1,3,86.2211,-120.515143,40.184458,1,"Jeffrey pine",99.0981665431184,89.2223276501112,9.87583889300716,0,19.7941496815958
216959438020004,14.0033236868737,0,0,0,6.25036664141427,0,0,0,0,0,0,0,0,0,27.9641461568898,27.9641461568898,20.253690328288,1,2014,1493.44711978055,1,85,922,40,0,1,1,367.5343,-121.411037,39.95299,1,"California black oak",260.090214974055,223.055819125278,24.6895972325179,12.344798616259,48.2178364851778
216959604020004,10.0231052514784,0,0,0,0,0,2.30765064880695,11.011333029637,0,0,0,0,0,0,0,0,23.3420889299224,0.429400525444393,2014,1859.18927156355,1,164,371,10,0,1,3,137.4425,-120.597963,40.243174,1,"California mixed conifer",99.0415369409439,74.351939708426,17.2827180627625,7.40687916975537,23.3420889299224
216960495020004,0.966885981130913,0,0,0,0,0,0,10.8162317414431,0,0,0,0,0,0,0,0,11.7831177225741,0.0820568888383892,2014,1798.23224626638,1,28,225,10,0,1,2,150.7627,-121.635572,40.377888,1,"Jeffrey pine",121.432063256733,118.963103533482,2.46895972325179,0,11.7831177225741
216960557020004,0,0,0,0,6.64663668342738,0,0,0,1.06672230080154,0,4.42725652580528,0,18.360649448448,0,3.95747957797032,3.95747957797032,30.5012649584822,0,2014,1127.70496799756,1,125,371,10,0,1,2,191.8747,-122.681802,39.820171,1,"California mixed conifer",213.066721027922,193.315043241908,19.7516777860143,0,34.4587445364525
216960716020004,47.7356227726465,0,0,0,0,0,0,0,0,0,0,0,4.10531883308285,0,0,0,51.8409416057293,1,2014,1615.36117037489,1,55,261,10,0,1,2,290.3854,-121.471249,40.098092,1,"White fir",332.029824561403,312.278146775389,17.2827180627625,2.46895972325179,51.8409416057293
216960814020004,0,0,0,0,12.2657652460083,0,0,0,0,0,7.90674580342734,0,0,0,0,0,20.1725110494357,0,2014,1493.44711978055,1,90,371,40,0,1,3,100.9587,-121.251039,41.111167,1,"California mixed conifer",109.0306350383,104.092715591796,4.93791944650358,0,20.1725110494357
216961090020004,0,0,0,0,0,0,0,0,0,0,13.0085848773636,0,2.81088032059118,4.40612454002735,4.73247343667986,9.13859797670721,15.8194651979548,0,2014,1249.61901859189,1,95,922,10,0,1,1,241.9631,-121.080351,39.801182,1,"California black oak",108.974005436126,89.2223276501112,9.87583889300716,9.87583889300716,24.958063174662
216961180020004,7.59169968546287,0,0,0,0,0,0,0,2.97901144882858,0,0,0,0,0,0,0,10.5707111342914,0.718182493970094,2014,1676.31819567205,1,55,261,40,22,1,3,132.6448,-121.524105,40.741512,1,"White fir",91.691287373363,89.2223276501112,2.46895972325179,0,10.5707111342914
216961355020004,0,0,0,0,5.99959027946639,0,0,1.29311323376902,0,0,21.7595820671977,0,0,0,0,0,29.0522855804331,0,2014,1554.40414507772,1,85,221,40,22,1,2,206.8283,-120.48628,39.83612,1,"Ponderosa pine",252.796595008648,252.796595008648,0,0,29.0522855804331
216961419020004,6.96718348702003,0,0,0,8.57644871890895,0,0,0,5.68433393938862,0,2.98400892549891,0,3.35956334144042,0,0,0,27.5715384122569,0.445599548759036,2014,1737.27522096922,1,78,371,10,22,1,2,201.8856,-120.670288,40.123615,1,"California mixed conifer",118.906473931307,104.092715591796,7.40687916975537,7.40687916975537,27.5715384122569
216961674020004,5.73447797161569,0,0,0,0,0,0,6.40151708961288,0,0,10.2682730306473,0,0,0,0,0,22.4042680918758,0.255954711312132,2014,1737.27522096922,1,85,371,10,0,1,2,177.5282,-121.008355,40.443441,1,"California mixed conifer",173.450106251544,163.574267358537,9.87583889300716,0,22.4042680918758
273640202489998,0,0,12.383519519454,0,0,0,2.80678135567054,0,0,1.15861016738141,0,0,0,0,0,0,16.348911042506,0.757452253991582,2015,1920.14629686071,1,118,371,10,12,1,2,196.9426,-121.64587,40.643506,1,"California mixed conifer",121.432063256733,118.963103533482,2.46895972325179,0,16.348911042506
