site,id,elev_mean,slope,aspect_num,aspect_cat,cwd_mean8110,cwd_jun_mean8110,aet_mean8110,spk_mean8110,ppt_mean8110,tmx_mean8110
lassen,27073009,1490.207339308849,7.496706658651223,181.49951171875,SW,543.8367156982422,95.27934646606445,370.16835021972656,264.9150085449219,1069.61328125,15.691699981689453
lassen,27040311,1479.7974878295486,9.569109420490587,138.70196533203125,SW,477.4750061035156,58.5575008392334,441.67665100097656,400.22320556640625,1640.316650390625,15.918300151824951
lassen,27031203,1725.0486937784947,10.509158141467793,354.9588623046875,NE,429.62998962402344,52.52885055541992,375.87330627441406,456.58534240722656,1440.7483520507812,14.789999961853027
lassen,27070807,1393.7954573047834,2.446987885000563,176.0438995361328,SW,551.4783020019531,103.46199798583984,373.92164611816406,198.16184997558594,968.95501708984375,16.479999542236328
lassen,27040414,1533.8818263904368,20.32984176505333,112.02540588378906,NE,250.60330200195312,0,684.77667236328125,353.78399658203125,1618.280029296875,15.746700286865234
lassen,27072803,1523.6454680448921,21.540074871349006,112.11460876464844,NE,554.7866516113281,103.62435150146484,357.9033508300781,244.78885650634766,1054.3616943359375,15.75
lassen,27061208,1433.4493804511949,2.233227364731722,72.7417984008789,NE,520.0808258056641,83.58917617797852,399.60668182373047,229.21125030517578,972.04833984375,16.234999656677246
lassen,27070510,1394.3799290810862,3.0228305646864277,150.14376831054688,SW,555.07330322265625,103.625,368.5166931152344,197.12100219726562,941.96002197265625,16.536699295043945
lassen,27070811,1389.177888786174,1.771339260637929,271.0874328613281,SW,522.2149963378906,87.907501220703125,400.7383575439453,200.32564544677734,975.1366271972656,16.478349685668945
lassen,27070708,1405.4446622789405,2.071809443064763,69.46440887451172,NE,528.6949920654297,90.22977638244629,391.81749725341797,209.91732025146484,965.2825012207031,16.40167474746704
lassen,27061215,1447.242318383837,2.322012436804673,81.3780746459961,NE,517.42999267578125,81.20949935913086,401.7200012207031,246.03679656982422,989.3999938964844,16.100000381469727
lassen,27040810,1612.9188017548488,4.777832664108421,141.38833618164062,SW,455.7716522216797,43.95570182800293,461.26499938964844,366.26634216308594,1560.3150024414062,15.511650085449219
lassen,27061414,1476.88792567296,12.238222767542172,343.4135437011719,NE,505.56500244140625,80.74914932250977,387.3467102050781,290.1896514892578,1030.8516845703125,15.823349952697754
lassen,27070531,1397.8148024584434,7.022137681702663,208.64358520507812,SW,557.2550048828125,104.18515014648438,363.943359375,198.8038558959961,923.0433654785156,16.59665012359619
lassen,27070413,1394.4840033041257,2.864952207669833,157.80178833007812,SW,553.135009765625,103.87319946289062,373.42665100097656,194.33919525146484,962.1199951171875,16.50670051574707
lassen,27071701,1382.9249991002189,7.280261403382172,176.19671630859375,SW,521.7232971191406,87.64229965209961,402.6499938964844,200.52429962158203,984.07000732421875,16.421700477600098
lassen,27071703,1393.4628671806263,9.171453433829585,61.08678436279297,NE,516.7300109863281,86.66364669799805,399.7183532714844,202.61284637451172,978.23834228515625,16.48169994354248
lassen,27070715,1415.5772442808245,0.5774105625373765,32.18263244628906,NE,520.61669921875,85.12765121459961,401.6517028808594,218.6783447265625,981.9866943359375,16.336700439453125
lassen,27061216,1432.4771210587012,4.000356392088761,17.281707763671875,NE,520.1366424560547,83.35610008239746,402.26918029785156,235.41082763671875,985.5,16.196674823760986
lassen,27062403,1433.3026210633702,10.718610809066385,155.3655242919922,SW,508.8210957845052,78.59863535563152,399.09776814778644,253.1195322672526,1014.1222330729166,16.038900057474773
lassen,27040814,1623.9808668155881,10.566864729128495,114.2645492553711,NE,478.318359375,58.61750030517578,418.50665283203125,404.5350036621094,1543.2483520507812,15.271650314331055
lassen,27060912,1669.0912900243022,17.628399578784514,349.671630859375,NE,270.1050109863281,0,568.8367004394531,423.3898468017578,1108.788330078125,14.818349838256836
lassen,27040637,1565.690664761417,33.56096790743413,321.3067932128906,NE,67.41834831237793,0,735.55499267578125,385.5157012939453,1417.518310546875,15.193349838256836
lassen,27062410,1440.6639373477142,10.011486158571621,81.91277313232422,NE,492.123291015625,68.38929748535156,395.6499938964844,273.6759948730469,1028.90673828125,15.683300018310547
lassen,27072804,1626.9467316204436,12.109300429851809,84.040130615234375,NE,545.0067138671875,96.57430267333984,361.93670654296875,289.3179931640625,1086.219970703125,15.156700134277344
lassen,27072116,1337.0163282378123,13.065271413368174,91.76258850097656,NE,537.9582977294922,88.20940017700195,406.98500061035156,183.79132843017578,1007.8633422851562,16.468324661254883
lassen,27072113,1592.2983611421594,15.4899027034982,324.845947265625,NE,542.22662353515625,98.90119934082031,357.64500427246094,271.4763488769531,1072.73828125,15.419999599456787
lassen,27032403,1231.1975045530894,19.50548342157381,143.1820831298828,SW,649.4132995605469,129.85964965820312,404.8766632080078,66.58685302734375,1452.8349609375,17.746700286865234
lassen,27061704,1923.4689107248937,17.461176692276613,31.91568374633789,NE,437.4199981689453,46.22369956970215,364.32835388183594,594.1570129394531,1218.7366333007812,13.878349781036377
lassen,27072701,1430.237322320566,21.85812988878807,318.11993408203125,NE,536.1966552734375,93.36735153198242,387.55665588378906,209.84514617919922,1019.8066711425781,16.021699905395508
lassen,27060132,1418.824636400517,2.4305120508125997,16.392257690429688,NE,588.0783386230469,117.96065139770508,322.48500061035156,219.48279571533203,921.4750061035156,16.414999961853027
lassen,27040612,1705.1783722557725,5.7075219736254885,178.13461303710938,SW,443.8616485595703,48.868499755859375,385.8933410644531,455.71449279785156,1443.375,14.736700057983398
lassen,27062315,1628.2643679122812,15.288087963080796,130.65274047851562,NE,477.6733093261719,57.07270050048828,386.8467102050781,325.71929931640625,1043.816650390625,15.069999694824219
lassen,27061308,1424.6708832546253,2.3377408353194817,138.2611083984375,SW,520.2391662597656,83.93232536315918,402.9716567993164,234.3271484375,998.4516448974609,16.240000247955322
